name,generics,brand_names,company_url
Ultra Pharma Ltd.,0,0,https://medex.com.bd/companies/97/ultra-pharma-ltd/brands
UNIDO Pharmaceuticals Ltd.,6,6,https://medex.com.bd/companies/477/unido-pharmaceuticals-ltd/brands
Unilever Bangladesh Limited,0,0,https://medex.com.bd/companies/413/unilever-bangladesh-limited/brands
UniMed UniHealth Pharmaceuticals Ltd.,328,638,https://medex.com.bd/companies/77/unimed-unihealth-pharmaceuticals-ltd/brands
Union Pharmaceuticals Ltd,45,58,https://medex.com.bd/companies/416/union-pharmaceuticals-ltd/brands
Unique Pharmaceuticals Ltd.,0,0,https://medex.com.bd/companies/204/unique-pharmaceuticals-ltd/brands
United Pharmaceuticals Ltd.,39,48,https://medex.com.bd/companies/142/united-pharmaceuticals-ltd/brands
Veritas Pharmaceuticals Ltd.,66,96,https://medex.com.bd/companies/126/veritas-pharmaceuticals-ltd/brands
Virgo Pharmaceuticals Ltd.,48,69,https://medex.com.bd/companies/158/virgo-pharmaceuticals-ltd/brands
West-Coast pharmaceutical works ltd.,0,0,https://medex.com.bd/companies/303/west-coast-pharmaceutical-works-ltd/brands
ZAS Corporation,65,76,https://medex.com.bd/companies/257/zas-corporation/brands
Zenith Pharmaceuticals Ltd.,103,147,https://medex.com.bd/companies/98/zenith-pharmaceuticals-ltd/brands
Ziska Pharmaceuticals Ltd.,191,350,https://medex.com.bd/companies/79/ziska-pharmaceuticals-ltd/brands
